,Time,Position
0,,
1,,
2,1648334933.8950868,right Side
3,1648334934.270122,front
4,1648334934.411122,front
5,1648334934.911191,right Side
6,1648334935.0518274,right Side
7,1648334935.1768558,right Side
8,1648334935.301863,right Side
9,1648334935.4268603,right Side
10,1648334935.5518687,right Side
11,1648334935.708138,front
12,1648334935.8487625,front
13,1648334935.9741552,front
14,1648334936.0991628,front
15,1648334936.2241774,front
16,1648334936.3491855,front
17,1648334936.4741929,front
18,1648334936.5992012,front
19,1648334936.724209,front
20,1648334936.8492284,front
21,1648334936.9746108,front
22,1648334937.099619,front
23,1648334937.225136,front
24,1648334937.3504567,front
25,1648334937.4751525,front
26,1648334937.6001801,front
27,1648334937.7251878,front
28,1648334937.8502078,front
29,1648334937.975588,front
30,1648334938.1005962,front
31,1648334938.2256048,front
32,1648334938.3506136,front
33,1648334938.475622,front
34,1648334938.60063,front
35,1648334938.7267826,front
36,1648334938.8506715,front
37,1648334938.9760654,front
38,1648334939.1167,front
39,1648334939.241709,front
40,1648334939.3667166,front
41,1648334939.491725,front
42,1648334939.6167324,front
43,1648334939.741752,front
44,1648334939.8667483,front
45,1648334939.9921417,front
46,1648334940.1171508,front
47,1648334940.242183,front
48,1648334940.3671916,front
49,1648334940.4922,front
50,1648334940.6172078,front
51,1648334940.7422166,front
52,1648334940.8672247,front
53,1648334940.992618,front
54,1648334941.1176286,front
55,1648334941.242637,front
